event_id,time,latitude,longitude,depth_km,magnitude,distance_from_previous_km
cluster_2004_May,2004-05-15 12:00:00,29.7755,81.08449999999999,43.25,4.35,87.46099199094857
cluster_2004_June,2004-06-15 12:00:00,28.506,82.6545,28.4,4.0,207.691895072183
cluster_2004_July,2004-07-15 12:00:00,29.903499999999998,88.38149999999999,22.55,4.3,577.9898817682032
cluster_2004_August,2004-08-15 12:00:00,30.708166666666667,83.65983333333332,10.0,4.75,462.81037102262366
cluster_2004_October,2004-10-15 12:00:00,30.282999999999998,80.80820000000001,28.8,4.2,277.7856023708924
cluster_2004_November,2004-11-15 12:00:00,30.985,81.20066666666666,10.0,4.8,86.443370807391
cluster_2005_January,2005-01-15 12:00:00,32.1365,92.715,20.7,4.35,1100.0702831070648
cluster_2005_February,2005-02-15 12:00:00,27.429000000000002,92.6925,54.05,3.6,521.8267195098133
cluster_2005_March,2005-03-15 12:00:00,27.77266666666667,86.06566666666667,14.4,4.2,655.2413119649133
cluster_2005_May,2005-05-15 12:00:00,30.2381304347826,83.36795652173915,10.0,4.1,379.1277466942563
cluster_2005_June,2005-06-15 12:00:00,30.326285714285717,84.08957142857143,43.8,3.8,70.11238645651167
cluster_2005_November,2005-11-15 12:00:00,29.93433333333333,81.69233333333334,47.8,4.5,235.04357700180978
cluster_2006_January,2006-01-15 12:00:00,29.396,82.615,10.0,4.6,107.42008998116854
cluster_2006_February,2006-02-15 12:00:00,30.7025,80.2185,37.9,3.8,272.73298827159897
cluster_2006_March,2006-03-15 12:00:00,26.895125,91.68025,10.0,4.2,1195.125628385909
cluster_2006_May,2006-05-15 12:00:00,31.64833333333333,90.51066666666667,33.1,4.4,538.956589526444
cluster_2006_June,2006-06-15 12:00:00,30.587,83.902,32.55,3.95,641.157845331828
cluster_2006_August,2006-08-15 12:00:00,31.608666666666664,77.957,35.0,3.5,578.3105935739046
cluster_2006_October,2006-10-15 12:00:00,29.625,81.045,17.15,4.7,368.79311437352493
cluster_2006_November,2006-11-15 12:00:00,29.819333333333333,80.31533333333333,10.0,4.1,73.81123941961691
