year,cluster_rank,centroid_lat,centroid_lon,centroid_depth,avg_mag,start_time,end_time,event_count
2009,3,30.704666666666668,83.66266666666667,17.333333333333332,4.2,2009-03-18 00:29:33.430000+00:00,2009-12-28 02:15:04.870000+00:00,3
2009,4,27.3056,91.4792,13.580000000000002,4.24,2009-09-21 09:16:54.340000+00:00,2009-12-01 11:23:28.430000+00:00,5
2009,5,27.2905,91.46350000000001,18.0,5.3,2009-10-29 17:00:38.600000+00:00,2009-12-31 09:57:29.720000+00:00,2
2010,1,29.936285714285713,80.20357142857142,22.042857142857144,4.757142857142857,2010-01-11 05:15:16.160000+00:00,2010-07-10 03:16:18.770000+00:00,7
2010,2,27.6435,92.7105,58.95,4.25,2010-02-16 20:58:01.490000+00:00,2010-07-06 09:31:44.090000+00:00,2
2010,3,30.58666666666667,83.82,39.5,4.166666666666667,2010-02-19 16:14:55.810000+00:00,2010-03-23 10:53:25.770000+00:00,3
2010,4,29.611666666666668,81.53733333333334,21.400000000000002,4.533333333333333,2010-02-25 14:06:19.770000+00:00,2010-06-13 14:37:56.580000+00:00,3
2010,5,30.5855,81.914,23.65,4.9,2010-03-15 20:17:16.890000+00:00,2010-03-15 20:23:28.040000+00:00,2
2010,6,29.7195,90.3445,10.0,5.1,2010-05-14 14:46:27.340000+00:00,2010-11-30 08:39:56.920000+00:00,2
2010,7,30.869500000000002,86.481,15.149999999999999,5.0,2010-12-29 18:30:59.750000+00:00,2010-12-29 19:01:28.390000+00:00,2
2011,1,27.3595,88.083,46.85,4.0,2011-02-10 03:51:44.230000+00:00,2011-12-14 20:20:53.840000+00:00,2
2011,2,27.436500000000002,88.5175,34.15,4.75,2011-09-18 13:12:00.350000+00:00,2011-09-18 13:54:19.630000+00:00,2
2012,1,29.527,81.284,36.26666666666667,4.433333333333334,2012-02-26 23:08:47.640000+00:00,2012-11-11 18:39:23.680000+00:00,3
2012,2,28.649714285714285,82.45071428571428,19.771428571428572,4.457142857142857,2012-03-19 20:36:21.310000+00:00,2012-08-28 08:31:24.490000+00:00,7
2012,3,27.296,88.2365,38.525,4.525,2012-05-30 01:54:30.620000+00:00,2012-11-30 19:39:30.580000+00:00,4
2012,4,29.8375,87.9465,28.2,4.3,2012-07-02 01:47:47.730000+00:00,2012-07-23 00:15:11.120000+00:00,2
2012,5,29.9325,88.026,19.7,4.9,2012-07-03 19:11:40.860000+00:00,2012-07-22 16:44:20.410000+00:00,2
2012,6,26.739,92.69399999999999,42.849999999999994,5.0,2012-08-19 09:24:49.380000+00:00,2012-10-02 18:37:38.700000+00:00,2
2012,7,26.933,92.9665,36.4,4.55,2012-10-02 18:40:42.920000+00:00,2012-10-02 18:51:38.010000+00:00,2
2013,1,29.451299999999996,81.64457999999999,27.595999999999997,4.4399999999999995,2013-01-02 17:42:16.670000+00:00,2013-11-03 06:47:22.450000+00:00,5
2013,2,31.420775000000003,86.50932499999999,21.74416666666667,4.583333333333333,2013-01-05 13:41:34.020000+00:00,2013-09-22 00:42:44.580000+00:00,12
2013,3,29.9616,87.95620000000001,28.606666666666666,4.333333333333333,2013-02-21 23:39:36.990000+00:00,2013-08-02 20:42:36.260000+00:00,3
2013,4,28.7065,82.28649999999999,17.4,5.0,2013-03-06 16:49:46.540000+00:00,2013-06-28 11:40:49.440000+00:00,2
2013,5,27.5605,92.81800000000001,28.6,4.25,2013-04-27 03:17:13.120000+00:00,2013-04-27 05:16:56.250000+00:00,2
2013,6,26.63425,92.5252,53.785,4.2,2013-08-21 06:57:21.490000+00:00,2013-08-21 08:41:51.110000+00:00,2
2014,1,31.960099999999997,90.32055,39.519999999999996,4.75,2014-01-16 17:47:34.950000+00:00,2014-02-07 08:56:43.270000+00:00,2
2014,2,26.924599999999998,92.56313333333333,38.919999999999995,4.433333333333334,2014-02-23 17:04:52.940000+00:00,2014-12-04 23:53:51.870000+00:00,3
2014,3,31.26592,86.41893999999999,21.054,4.14,2014-03-30 17:58:10.320000+00:00,2014-10-29 13:57:16.430000+00:00,5
2014,4,30.202066666666667,80.21300000000001,29.576666666666664,4.166666666666667,2014-07-03 11:35:00.300000+00:00,2014-08-24 08:29:31.740000+00:00,3
2014,5,27.6492,92.74905,44.739999999999995,4.1,2014-08-20 08:05:03.110000+00:00,2014-09-13 03:31:26.050000+00:00,2
