Year,From_Cluster,To_Cluster,From_Time,To_Time,From_Lat,From_Lon,To_Lat,To_Lon,Bearing_Degrees,Angle_wrt_X_Axis,Direction
2001,1,2,2001-01-24 23:57:18.740000+00:00,2001-03-12 11:34:18.010000+00:00,27.261,92.346,30.445999999999998,79.09450000000001,288.49,161.51,W
2001,2,3,2001-03-12 11:34:18.010000+00:00,2001-03-25 07:56:08.940000+00:00,30.445999999999998,79.09450000000001,31.41075,85.65,78.59,11.41,E
2001,3,4,2001-03-25 07:56:08.940000+00:00,2001-04-15 08:36:34.310000+00:00,31.41075,85.65,29.296,81.461,240.74,209.26,SW
2001,4,5,2001-04-15 08:36:34.310000+00:00,2001-11-27 07:31:52.330000+00:00,29.296,81.461,29.576999999999998,81.7485,41.63,48.37,NE
2001,5,6,2001-11-27 07:31:52.330000+00:00,2001-11-27 08:46:19.160000+00:00,29.576999999999998,81.7485,29.45975,81.697,200.93,249.07,S
2002,1,2,2002-01-27 19:13:15.990000+00:00,2002-05-03 13:55:45.050000+00:00,29.85945,87.9194,30.7965,86.3295,304.73,145.27,NW
2002,2,3,2002-05-03 13:55:45.050000+00:00,2002-06-04 14:47:16.310000+00:00,30.7965,86.3295,30.43675,81.34,266.49,183.51,W
2002,3,4,2002-06-04 14:47:16.310000+00:00,2002-06-04 15:27:07.270000+00:00,30.43675,81.34,30.372500000000002,81.334,184.61,265.39,S
2002,4,5,2002-06-04 15:27:07.270000+00:00,2002-07-16 18:39:24.490000+00:00,30.372500000000002,81.334,27.990333333333336,87.472,112.45,337.55,E
2002,5,6,2002-07-16 18:39:24.490000+00:00,2002-08-20 08:46:26.900000+00:00,27.990333333333336,87.472,27.4195,92.7495,95.73,354.27,E
2002,6,7,2002-08-20 08:46:26.900000+00:00,2002-11-16 08:52:21.060000+00:00,27.4195,92.7495,29.7146,90.4428,319.11,130.89,NW
2002,7,8,2002-11-16 08:52:21.060000+00:00,2002-11-29 17:32:44.040000+00:00,29.7146,90.4428,29.678,90.49549999999999,128.63,321.37,SE
2003,1,2,2003-01-18 10:31:48.640000+00:00,2003-03-05 08:22:35.710000+00:00,28.66,81.9975,31.556,78.32466666666666,313.26,136.74,NW
2003,2,3,2003-03-05 08:22:35.710000+00:00,2003-06-03 03:33:31.840000+00:00,31.556,78.32466666666666,30.7765,86.205,94.54,355.46,E
2003,3,4,2003-06-03 03:33:31.840000+00:00,2003-07-21 04:39:52.520000+00:00,30.7765,86.205,30.562,85.991,220.69,229.31,SW
2003,4,5,2003-07-21 04:39:52.520000+00:00,2003-11-15 14:43:59.540000+00:00,30.562,85.991,30.3545,83.1905,265.8,184.2,W
2003,5,6,2003-11-15 14:43:59.540000+00:00,2003-11-22 05:07:05.740000+00:00,30.3545,83.1905,28.25866666666667,83.76899999999999,166.32,283.68,S
2004,1,2,2004-01-06 03:13:28.930000+00:00,2004-03-01 17:59:04.890000+00:00,30.3765,86.054,30.9198,81.1874,278.63,171.37,W
2004,2,3,2004-03-01 17:59:04.890000+00:00,2004-05-29 12:09:38.870000+00:00,30.9198,81.1874,28.506,82.6545,151.8,298.2,SE
2004,3,4,2004-05-29 12:09:38.870000+00:00,2004-06-24 10:03:28.600000+00:00,28.506,82.6545,29.901,87.97971428571428,72.01,17.99,E
2004,4,5,2004-06-24 10:03:28.600000+00:00,2004-07-11 23:24:03.580000+00:00,29.901,87.97971428571428,30.566285714285716,83.50957142857143,280.89,169.11,W
2004,5,6,2004-07-11 23:24:03.580000+00:00,2004-07-11 23:57:53.360000+00:00,30.566285714285716,83.50957142857143,30.714,83.636,36.34,53.66,NE
2004,6,7,2004-07-11 23:57:53.360000+00:00,2004-07-16 20:33:53.980000+00:00,30.714,83.636,28.195999999999998,84.179,169.23,280.77,S
2004,7,8,2004-07-16 20:33:53.980000+00:00,2004-08-09 08:18:18.490000+00:00,28.195999999999998,84.179,27.427,91.9365,94.57,355.43,E
2004,8,9,2004-08-09 08:18:18.490000+00:00,2004-10-26 11:13:02.660000+00:00,27.427,91.9365,31.951999999999998,92.7775,8.97,81.03,N
2004,9,10,2004-10-26 11:13:02.660000+00:00,2004-11-26 21:13:20.570000+00:00,31.951999999999998,92.7775,32.17033333333333,92.741,351.95,98.05,N
2005,1,2,2005-01-15 22:32:48.190000+00:00,2005-01-21 13:25:52.740000+00:00,29.5425,80.8305,27.429000000000002,92.6925,98.58,351.42,E
2005,2,3,2005-01-21 13:25:52.740000+00:00,2005-02-08 01:51:35.940000+00:00,27.429000000000002,92.6925,27.79,86.05250000000001,275.05,174.95,W
2005,3,4,2005-02-08 01:51:35.940000+00:00,2005-03-06 03:22:43.610000+00:00,27.79,86.05250000000001,30.272379310344828,83.51037931034483,318.77,131.23,NW
2005,4,5,2005-03-06 03:22:43.610000+00:00,2005-04-07 01:40:45.850000+00:00,30.272379310344828,83.51037931034483,29.3365,81.4315,243.1,206.9,SW
2005,5,6,2005-04-07 01:40:45.850000+00:00,2005-04-07 21:42:09.020000+00:00,29.3365,81.4315,30.425,83.713,60.61,29.39,NE
2005,6,7,2005-04-07 21:42:09.020000+00:00,2005-05-15 19:21:49.060000+00:00,30.425,83.713,31.6545,92.6555,78.59,11.41,E
2005,7,8,2005-05-15 19:21:49.060000+00:00,2005-08-21 19:53:33.890000+00:00,31.6545,92.6555,29.97866666666667,80.903,263.62,186.38,W
2005,8,9,2005-08-21 19:53:33.890000+00:00,2005-09-05 16:22:07.240000+00:00,29.97866666666667,80.903,30.448,79.128,287.46,162.54,W
2005,9,10,2005-09-05 16:22:07.240000+00:00,2005-10-14 04:43:04.530000+00:00,30.448,79.128,28.4005,86.16499999999999,106.72,343.28,E
2005,10,11,2005-10-14 04:43:04.530000+00:00,2005-10-29 23:32:10.440000+00:00,28.4005,86.16499999999999,29.662333333333333,81.76733333333333,289.23,160.77,W
2005,11,12,2005-10-29 23:32:10.440000+00:00,2005-12-10 05:39:33.640000+00:00,29.662333333333333,81.76733333333333,29.225,82.1825,140.32,309.68,SE
