time,lat,lon,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2010-06-02T08:05:22.880Z,31.406,80.251,35,4,mb,24,144,,0.74,us,usp000hdg6,2014-11-07T01:41:37.408Z,"114 km NE of Josh?math, India",earthquake,,,,2,reviewed,us,us
2010-05-28T07:25:02.580Z,31.135,77.839,18.8,5,mb,106,48.5,,0.74,us,usp000hd9n,2014-11-07T01:41:33.663Z,"10 km SE of Rohru, India",earthquake,,11.3,,44,reviewed,us,us
2010-05-14T14:46:27.340Z,29.664,90.36,10,4.9,mb,62,81.1,,0.76,us,usp000hcrk,2014-11-07T01:41:29.269Z,"47 km SW of Dêqên, China",earthquake,,,,15,reviewed,us,us
2010-05-03T17:15:08.000Z,30.27,78.314,13.5,4,mb,39,93.4,,1.14,us,usp000hc9a,2014-11-07T01:41:26.281Z,"12 km NNE of Narendranagar, India",earthquake,,20.7,,4,reviewed,us,us
2010-05-01T22:36:29.370Z,30.099,80.026,35.5,4.5,mb,61,62.3,,0.88,us,usp000hc68,2020-09-21T16:47:42.322Z,"37 km NE of B?geshwar, India",earthquake,,7.5,,23,reviewed,us,us
2010-04-28T19:20:28.060Z,31.647,90.507,10,4.1,mb,27,114.3,,1.06,us,usp000hc1f,2014-11-07T01:41:20.933Z,"148 km W of Nagqu, China",earthquake,,,,7,reviewed,us,us
2010-03-23T10:53:25.770Z,30.427,83.839,35,4.1,mb,22,76,,1.19,us,usp000h9wc,2014-11-07T01:41:05.014Z,"181 km NW of Saga, China",earthquake,,,,5,reviewed,us,us
2010-03-15T20:23:28.040Z,30.64,81.953,29.5,4.9,mb,39,95.8,,1.13,us,usp000h9fa,2014-11-07T01:41:02.288Z,"83 km ENE of Burang, China",earthquake,,26.9,,4,reviewed,us,us
2010-03-15T20:17:16.890Z,30.531,81.875,17.8,4.9,mwc,83,50.6,,0.81,us,usp000h9f9,2016-11-10T02:25:51.790Z,"72 km ENE of Burang, China",earthquake,,13.9,,,reviewed,us,gcmt
2010-03-09T22:21:13.460Z,30.655,83.773,40.3,4.2,mb,24,100,,1.12,us,usp000h91a,2014-11-07T01:40:57.958Z,"203 km NW of Saga, China",earthquake,,11.6,,3,reviewed,us,us
